Name,Party,Constituency,Date of Birth,Education
Ebute Ameh,NPN,Benue South-Central,16/09/1946,
Ahmed Mohammed Uba,NPN,Bauchi South East,20/04/1939,
Ikpo Nosike,UPN,Bendel East,21/03/1933,
Dimis Ibrahim,NPN,Bauchi South,01/10/1927,
Waziri Ibrahim Jalo,NPN,Bauchi East,1926,
Atake Franklin O. M.,UPN,Bendel Delta,06/05/1928,
Akpata E. Idahosa O.,UPN,Bendel Central,14/05/1919,
Offia Nwali,NPP,,,
Umolu John Osiomele,UPN,Bendel North,1919,
Ani Isaiah Nnamani,NPP,Anambra North,16/06/1933,
Dafinone David Omueya,NPN,Bendel South,12/03/1927,
Anah Nathaniel N.,NPP,Anambra South,29/09/1931,
A. Yelwaji,NPN,,1936,
Obi Onyeabo,NPP,Anambra West,20/11/1938,
Rufa'i Ahmadu Damyama,NPN,Bauchi Central,08/1919,
"Okwu, Basil Charles",NPP,Anambra Central,23/08/1923,
